date,hour,forecast_base,forecast_hour,precipitacao_total,rad_total,temp_media,temp_max,temp_min,umid_mediana,umid_max,umid_min,vento_vel_media,vento_raj_max,rad_mediana,rad_max,rad_min,dia_semana_num,day_of_year,mes,trimestre,feriado,Chuva_aberta,loja_id
2025-10-24,20,2025-10-23T15:00:00-03:00,29,0.0,0.0,21.902825927734398,21.902825927734398,21.902825927734398,68.80000305175781,68.80000305175781,68.80000305175781,,,0.0,0.0,0.0,4,297,10,4,0,0.0,1
2025-10-24,21,2025-10-23T15:00:00-03:00,30,0.0,0.0,22.073846435546898,22.073846435546898,22.073846435546898,65.5,65.5,65.5,,,0.0,0.0,0.0,4,297,10,4,0,0.0,1
2025-10-24,22,2025-10-23T15:00:00-03:00,31,0.0,0.0,20.092004394531273,20.092004394531273,20.092004394531273,72.0999984741211,72.0999984741211,72.0999984741211,,,0.0,0.0,0.0,4,297,10,4,0,0.0,1
2025-10-24,23,2025-10-23T15:00:00-03:00,32,0.0,0.0,20.216485595703148,20.216485595703148,20.216485595703148,69.69999694824219,69.69999694824219,69.69999694824219,,,0.0,0.0,0.0,4,297,10,4,0,0.0,1
2025-10-25,0,2025-10-23T15:00:00-03:00,33,0.0,0.0,20.576806640625023,20.576806640625023,20.576806640625023,64.19999694824219,64.19999694824219,64.19999694824219,,,0.0,0.0,0.0,5,298,10,4,0,0.0,1
2025-10-25,1,2025-10-23T15:00:00-03:00,34,0.0,0.0,20.033441162109398,20.033441162109398,20.033441162109398,62.5,62.5,62.5,,,0.0,0.0,0.0,5,298,10,4,0,0.0,1
2025-10-25,2,2025-10-23T15:00:00-03:00,35,0.0,0.0,20.686578369140648,20.686578369140648,20.686578369140648,56.70000457763672,56.70000457763672,56.70000457763672,,,0.0,0.0,0.0,5,298,10,4,0,0.0,1
2025-10-25,3,2025-10-23T15:00:00-03:00,36,0.0,0.0,20.869989013671898,20.869989013671898,20.869989013671898,54.099998474121094,54.099998474121094,54.099998474121094,,,0.0,0.0,0.0,5,298,10,4,0,0.0,1
2025-10-25,4,2025-10-23T15:00:00-03:00,37,0.010416666666666666,0.0,21.179376220703148,21.179376220703148,21.179376220703148,51.29999923706055,51.29999923706055,51.29999923706055,,,0.0,0.0,0.0,5,298,10,4,0,0.010416666666666666,1
2025-10-25,5,2025-10-23T15:00:00-03:00,38,0.010416666666666666,0.0,21.439691162109398,21.439691162109398,21.439691162109398,49.900001525878906,49.900001525878906,49.900001525878906,,,0.0,0.0,0.0,5,298,10,4,0,0.010416666666666666,1
2025-10-25,6,2025-10-23T15:00:00-03:00,39,0.010416666666666666,0.0,21.622552490234398,21.622552490234398,21.622552490234398,49.0,49.0,49.0,,,0.0,0.0,0.0,5,298,10,4,0,0.010416666666666666,1
2025-10-25,7,2025-10-23T15:00:00-03:00,40,0.010416666666666666,0.0,20.957055664062523,20.957055664062523,20.957055664062523,54.79999923706055,54.79999923706055,54.79999923706055,,,0.0,0.0,0.0,5,298,10,4,0,0.010416666666666666,1
2025-10-25,8,2025-10-23T15:00:00-03:00,41,0.010416666666666666,0.0,21.161279296875023,21.161279296875023,21.161279296875023,60.599998474121094,60.599998474121094,60.599998474121094,,,0.0,0.0,0.0,5,298,10,4,0,0.010416666666666666,1
2025-10-25,9,2025-10-23T15:00:00-03:00,42,0.010416666666666666,0.0,20.752557373046898,20.752557373046898,20.752557373046898,67.5999984741211,67.5999984741211,67.5999984741211,,,0.0,0.0,0.0,5,298,10,4,0,0.010416666666666666,1
2025-10-25,10,2025-10-23T15:00:00-03:00,43,-0.010416666666666666,0.0,19.344171142578148,19.344171142578148,19.344171142578148,71.5999984741211,71.5999984741211,71.5999984741211,,,0.0,0.0,0.0,5,298,10,4,0,-0.010416666666666666,1
2025-10-25,11,2025-10-23T15:00:00-03:00,44,-0.010416666666666666,0.0,19.717584228515648,19.717584228515648,19.717584228515648,75.4000015258789,75.4000015258789,75.4000015258789,,,0.0,0.0,0.0,5,298,10,4,0,-0.010416666666666666,1
2025-10-25,12,2025-10-23T15:00:00-03:00,45,-0.010416666666666666,0.0,21.814782714843773,21.814782714843773,21.814782714843773,68.5999984741211,68.5999984741211,68.5999984741211,,,0.0,0.0,0.0,5,298,10,4,0,-0.010416666666666666,1
2025-10-25,13,2025-10-23T15:00:00-03:00,46,-0.010416666666666666,0.0,23.255456542968773,23.255456542968773,23.255456542968773,64.30000305175781,64.30000305175781,64.30000305175781,,,0.0,0.0,0.0,5,298,10,4,0,-0.010416666666666666,1
2025-10-25,14,2025-10-23T15:00:00-03:00,47,-0.010416666666666666,0.0,22.056756591796898,22.056756591796898,22.056756591796898,70.4000015258789,70.4000015258789,70.4000015258789,,,0.0,0.0,0.0,5,298,10,4,0,-0.010416666666666666,1
2025-10-25,15,2025-10-23T15:00:00-03:00,48,-0.010416666666666666,0.0,20.443994140625023,20.443994140625023,20.443994140625023,77.9000015258789,77.9000015258789,77.9000015258789,,,0.0,0.0,0.0,5,298,10,4,0,-0.010416666666666666,1
2025-10-25,16,2025-10-23T15:00:00-03:00,49,0.17708333333333334,0.0,19.649102783203148,19.649102783203148,19.649102783203148,84.0,84.0,84.0,,,0.0,0.0,0.0,5,298,10,4,0,0.17708333333333334,1
2025-10-25,17,2025-10-23T15:00:00-03:00,50,0.17708333333333334,0.0,18.208062744140648,18.208062744140648,18.208062744140648,87.0999984741211,87.0999984741211,87.0999984741211,,,0.0,0.0,0.0,5,298,10,4,0,0.17708333333333334,1
2025-10-25,18,2025-10-23T15:00:00-03:00,51,0.17708333333333334,0.0,17.637963867187523,17.637963867187523,17.637963867187523,89.80000305175781,89.80000305175781,89.80000305175781,,,0.0,0.0,0.0,5,298,10,4,0,0.17708333333333334,1
2025-10-25,19,2025-10-23T15:00:00-03:00,52,0.17708333333333334,0.0,16.757318115234398,16.757318115234398,16.757318115234398,91.9000015258789,91.9000015258789,91.9000015258789,,,0.0,0.0,0.0,5,298,10,4,0,0.17708333333333334,1
2025-10-25,20,2025-10-23T15:00:00-03:00,53,0.17708333333333334,0.0,16.555169677734398,16.555169677734398,16.555169677734398,93.4000015258789,93.4000015258789,93.4000015258789,,,0.0,0.0,0.0,5,298,10,4,0,0.17708333333333334,1
2025-10-25,21,2025-10-23T15:00:00-03:00,54,0.17708333333333334,0.0,16.386407470703148,16.386407470703148,16.386407470703148,95.19999694824219,95.19999694824219,95.19999694824219,,,0.0,0.0,0.0,5,298,10,4,0,0.17708333333333334,1
2025-10-25,22,2025-10-23T15:00:00-03:00,55,-0.17708333333333334,0.0,17.198968505859398,17.198968505859398,17.198968505859398,94.4000015258789,94.4000015258789,94.4000015258789,,,0.0,0.0,0.0,5,298,10,4,0,-0.17708333333333334,1
2025-10-25,23,2025-10-23T15:00:00-03:00,56,-0.17708333333333334,0.0,16.085809326171898,16.085809326171898,16.085809326171898,94.0999984741211,94.0999984741211,94.0999984741211,,,0.0,0.0,0.0,5,298,10,4,0,-0.17708333333333334,1
2025-10-26,0,2025-10-23T15:00:00-03:00,57,-0.17708333333333334,0.0,14.582879638671898,14.582879638671898,14.582879638671898,95.5,95.5,95.5,,,0.0,0.0,0.0,6,299,10,4,0,-0.17708333333333334,1
2025-10-26,1,2025-10-23T15:00:00-03:00,58,-0.17708333333333334,0.0,13.879357910156273,13.879357910156273,13.879357910156273,96.4000015258789,96.4000015258789,96.4000015258789,,,0.0,0.0,0.0,6,299,10,4,0,-0.17708333333333334,1
