date,loja_id,temp_max,temp_min,temp_media,umid_mediana,umid_max,umid_min,precipitacao_total,Chuva_aberta,rad_total,rad_mediana,rad_max,rad_min,vento_vel_media,vento_raj_max,dia_semana_num,day_of_year,mes,trimestre,feriado,forecast_base
2025-10-23,1,26.771234130859398,17.503198242187523,21.345662689209007,69.71250104904175,76.9000015258789,55.900001525878906,0.0,0.0,0.0,0.0,0.0,0.0,,,3,296,10,4,0,2025-10-23T15:00:00-03:00
2025-10-23,2,26.771234130859398,17.503198242187523,21.345662689209007,69.71250104904175,76.9000015258789,55.900001525878906,0.0,0.0,0.0,0.0,0.0,0.0,,,3,296,10,4,0,2025-10-23T15:00:00-03:00
2025-10-24,1,27.846887207031273,16.663781738281273,21.30904286702476,65.6125005086263,73.5999984741211,47.70000076293945,0.0,0.0,0.0,0.0,0.0,0.0,,,4,297,10,4,0,2025-10-23T15:00:00-03:00
2025-10-24,2,27.846887207031273,16.663781738281273,21.30904286702476,65.6125005086263,73.5999984741211,47.70000076293945,0.0,0.0,0.0,0.0,0.0,0.0,,,4,297,10,4,0,2025-10-23T15:00:00-03:00
2025-10-25,1,23.255456542968773,16.085809326171898,19.766286468505882,72.03333346048991,95.19999694824219,49.0,0.7083333333333334,0.7083333333333334,0.0,0.0,0.0,0.0,,,5,298,10,4,0,2025-10-23T15:00:00-03:00
2025-10-25,2,23.255456542968773,16.085809326171898,19.766286468505882,72.03333346048991,95.19999694824219,49.0,0.7083333333333334,0.7083333333333334,0.0,0.0,0.0,0.0,,,5,298,10,4,0,2025-10-23T15:00:00-03:00
2025-10-26,1,21.282312011718773,11.610711669921898,16.188245391845726,82.4541670481364,97.4000015258789,63.29999923706055,-0.7083333333333334,-0.7083333333333334,0.0,0.0,0.0,0.0,,,6,299,10,4,0,2025-10-23T15:00:00-03:00
2025-10-26,2,21.282312011718773,11.610711669921898,16.188245391845726,82.4541670481364,97.4000015258789,63.29999923706055,-0.7083333333333334,-0.7083333333333334,0.0,0.0,0.0,0.0,,,6,299,10,4,0,2025-10-23T15:00:00-03:00
2025-10-27,1,23.253015136718773,9.761621093750023,16.678689575195335,71.46666765213013,95.9000015258789,44.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0,300,10,4,0,2025-10-23T15:00:00-03:00
2025-10-27,2,23.253015136718773,9.761621093750023,16.678689575195335,71.46666765213013,95.9000015258789,44.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0,300,10,4,0,2025-10-23T15:00:00-03:00
2025-10-28,1,19.670983886718773,10.669793701171898,14.922986602783226,72.12500095367432,83.5999984741211,61.20000076293945,0.0,0.0,0.0,0.0,0.0,0.0,,,1,301,10,4,0,2025-10-23T15:00:00-03:00
2025-10-28,2,19.670983886718773,10.669793701171898,14.922986602783226,72.12500095367432,83.5999984741211,61.20000076293945,0.0,0.0,0.0,0.0,0.0,0.0,,,1,301,10,4,0,2025-10-23T15:00:00-03:00
